id;project_id;name;start_date;end_date;progress;created_at;description;pic;status;wbs_number;monev;phase;parent_task_id;progress_override;progress_override_by;progress_override_at;ai_progress;ai_progress_reasoning;deliverable_result;problem
8ffed3ca-fede-40df-86da-3facb5a70233;efb258e2-81b3-4c8b-95ae-c976879891b4;Timeline;2025-10-20;2025-10-20;0;2026-02-10 07:00:04.163211+00;Pembuatan timeline pengerjaan project;Tiwi Mandiri;not_started;1.2.1;;planning;498d6adc-c559-401e-bca9-b06f4259f7f0;;;;;;;
113460d7-ec9b-4b32-a541-a936ff24a339;48f8b37c-881f-4f0d-a945-2659ebfe3f37;Unit Testing dan Integrasi Sistem;2026-02-18;2026-02-20;0;2026-02-11 02:15:59.236154+00;Melakukan pengujian internal (Alpha Testing) untuk memastikan perhitungan tarif dan jasa medik sudah akurat secara sistem.;;not_started;2.2;;execution;;;;;;;;
e95992a8-652c-4845-9419-0f70d8b43d90;48f8b37c-881f-4f0d-a945-2659ebfe3f37;User Acceptance Test (UAT);2026-02-23;2026-02-27;0;2026-02-11 02:15:59.872798+00;Melakukan verifikasi hasil pengembangan bersama user (dokter/manajemen) untuk memastikan kesesuaian dengan Perdirut.;;not_started;3.0;;evaluation;;;;;;;;
f6130566-9dd3-4d38-92b9-b97352b48c53;be7a5e00-f9a2-460f-91cb-73b6e8110345;Penyusunan Alur Kerja (Workflow) Baru Penarikan Data;2026-02-11;2026-02-12;0;2026-02-11 02:43:56.416164+00;Rapat koordinasi dengan tim IT, Keuangan, dan Manajemen Medis untuk menyepakati workflow baru penarikan data JKN.;;not_started;1.1;;planning;;;;;;;;
be0618bc-16d0-4933-b337-aa165095e7a3;be7a5e00-f9a2-460f-91cb-73b6e8110345;Finalisasi Kebijakan & Sosialisasi Internal Tenaga Medis;2026-02-22;2026-02-23;0;2026-02-11 02:43:59.100565+00;Penyusunan SK atau Memo Internal resmi mengenai perubahan tanggal cut-off data dan tanggal pembayaran insentif menjadi tanggal 15.;;not_started;3.0;;followup;;;;;;;;
94ae746a-988a-4df4-9c70-baba27fe218c;be7a5e00-f9a2-460f-91cb-73b6e8110345;Trial & Testing Penarikan Data Periode Baru;2026-02-17;2026-02-19;0;2026-02-11 02:43:57.968752+00;Uji coba penarikan data menggunakan periode baru (tgl 29 di 2 bulan sebelumnya s/d tgl 28 bulan sebelumnya) untuk memastikan akurasi data.;;not_started;2.2;;execution;;;;;;;;
2652f0fa-f6bb-4267-82a3-eabd3b40c24c;be7a5e00-f9a2-460f-91cb-73b6e8110345;Validasi Perhitungan Insentif Kinerja Medis;2026-02-20;2026-02-21;0;2026-02-11 02:43:58.549117+00;Verifikasi hasil perhitungan insentif berdasarkan data uji coba untuk memastikan proporsi sesuai dengan regulasi Kepdirjen 286.;;not_started;2.3;;execution;;;;;;;;
ecb11257-8b8c-42ce-960c-228f6d6b1a2f;49544352-62fb-43b5-918a-af890a41f903;Site Visit;2025-12-01;2026-02-28;100;2026-02-10 03:45:50.565829+00;Melakukan Site visit ke RS Permata Jonggol;Salman;completed;1.1;done;planning;49072f17-afcb-435e-8a6f-d8277e5076ae;51;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;2026-02-10 03:47:26.505+00;;;;
7f0aa444-5e87-4c29-8110-b4a683ce6f4e;be7a5e00-f9a2-460f-91cb-73b6e8110345;Evaluasi Implementasi & Pelaporan Akhir Proyek;2026-02-24;2026-02-26;0;2026-02-11 02:43:59.703643+00;Review hasil implementasi siklus pertama dan dokumentasi kendala untuk perbaikan di bulan berikutnya.;;not_started;4.0;;evaluation;;;;;;;;
4b421715-84a8-41fb-8843-cd6e80b308d6;efb258e2-81b3-4c8b-95ae-c976879891b4;PKS Antara Diryanop dan Mandiri;2025-10-20;2025-10-31;0;2026-02-11 04:17:00.710729+00;Perjanjian Kerjasama;Tiwi Mandiri;in_progress;1.2.2;Masih belum dilakukan PKS;planning;498d6adc-c559-401e-bca9-b06f4259f7f0;;;;;;;
febc3bcb-3db6-4996-930a-a266fe95d434;efb258e2-81b3-4c8b-95ae-c976879891b4;Pembuatan Timeline Project;2025-10-20;2025-10-31;0;2026-02-11 04:18:00.394608+00;Timeline pengerjaan Project;Tiwi Mandiri;not_started;1.2.3;Menunggu  PKS;planning;498d6adc-c559-401e-bca9-b06f4259f7f0;;;;;;;
60850c40-046b-4722-9a35-d86b9315376b;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;Penambahan UI Timeline ;2026-01-01;2026-01-01;100;2026-02-09 03:07:49.544922+00;Penambahan UI Timeline Integrated dengan Google Calendar, Attachment Notulensi dan Meeting;Tyo;completed;2.4.1;;execution;6213e685-c6e5-475d-b6ef-5ad77a77a778;;;;;;;
22ddc627-665a-4429-a901-c11a9e45aed6;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;UAT (User Acceptance Test);2026-05-24;2026-05-30;0;2026-04-20 11:27:35.544566+00;;IPSTI;not_started;1;;Testing & Training;;;;;;;;
4b072b9e-8347-48f3-a93e-b709b8e8a947;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Training Camp;2026-05-31;2026-06-13;0;2026-04-20 11:30:25.966019+00;;IPSTI;not_started;2;;Testing & Training;;;;;;;;
dc855d4f-1c53-48d5-adff-4cce78a95142;be7a5e00-f9a2-460f-91cb-73b6e8110345;Konfigurasi Sistem & Update Query Penarikan Data JKN;2026-02-13;2026-02-16;0;2026-02-11 02:43:57.399688+00;Penyesuaian query database dan pengaturan sistem untuk mengubah parameter periode penarikan data transaksi aktivitas medis.;;not_started;2.1;;execution;;;;;;;;
9522a01a-a31a-40c8-8373-09a802fd91d7;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Kebutuhan Ruang Lingkup;2026-03-01;2026-03-07;100;2026-04-20 11:06:25.338336+00;;IPSTI;completed;1;;Persiapan Project;;;;;;;;
07d0b32b-ade3-470c-bc07-f39b389af999;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Kajian Ruang Lingkup;2026-03-01;2026-03-07;100;2026-04-20 11:07:36.032499+00;;IPSTI;completed;2;;Persiapan Project;;;;;;;;
7f4f68e8-a670-4095-b1b7-f058fda782f1;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;FGD Unit Terkait;2026-03-08;2026-03-14;100;2026-04-20 11:10:07.484535+00;;IPSTI;completed;4;;Persiapan Project;;;;;;;;
161aa21a-dc5f-4693-864f-607ebea19f14;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Penetapan Ruang Lingkup;2026-03-01;2026-03-07;100;2026-04-20 11:09:20.189679+00;;IPSTI;completed;3;;Persiapan Project;;;;;;;;
2e39b33f-6348-4b8c-b592-8e7968424ad5;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Data Migration;2026-03-29;2026-04-04;100;2026-04-20 11:21:01.93078+00;;IPSTI;completed;2;;Development & Integration;;;;;;;;
864929fc-c1b0-4c87-9708-47d147ed6456;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Identifikasi Gap;2026-03-22;2026-03-28;100;2026-04-20 11:13:57.095014+00;;IPSTI;completed;2;;Discovery & Gap Analysis;;;;;;;;
682092ec-a7e9-4eed-a756-9c1c072c60a9;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Mapping Proses Bisnis;2026-03-15;2026-03-21;100;2026-04-20 11:12:02.60716+00;;IPSTI;completed;1;;Discovery & Gap Analysis;;;;;;;;
d99774b2-59b5-4e3e-88bd-0201f9141a4d;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Data Migration;2026-05-17;2026-05-23;0;2026-04-22 03:35:32.450799+00;;IPSTI;not_started;2.1;;Development & Integration;2e39b33f-6348-4b8c-b592-8e7968424ad5;;;;;;;
ccf5184a-70a4-4670-b902-b236b9db570e;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;Bridging System;2026-04-05;2026-04-11;100;2026-04-20 11:18:45.14916+00;;IPSTI;completed;3;;Development & Integration;;;;;;;;
