id;project_id;created_by;title;meeting_date;meeting_time;description;attachment_url;created_at;updated_at;google_calendar_event_id
2d9dea17-ca16-4f4f-aee3-39291c6d2bfb;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Pra Kontrak kinerja;2026-02-26;08:00:00;;;2026-02-25 03:50:57.422492+00;2026-02-25 09:50:47.57148+00;
d01a9aa0-aee4-4b57-b08a-e4583bb7e766;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Bahas Tarif dengan IPSTI;2026-02-26;10:00:00;Target output: Timeline implementasi tarif, kalo bisa 2 bulan;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1772074609738.pdf;2026-02-23 04:40:07.461917+00;2026-02-26 02:56:51.682844+00;
1451f06d-4a56-41da-9ae8-84c4a7edb919;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Migrasi Data EHR HIS;2026-02-25;13:00:00;;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1772074619486.pptx;2026-02-23 04:30:07.150034+00;2026-02-26 02:57:17.719946+00;
8817a07a-fb71-4e6e-8808-628857847599;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Konsolidasi dengan IPSTI;2026-02-23;10:00:00;Bahas flowchart pengajuan Project dan project yg harus dikerjkaan;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1772074728216.pdf;2026-02-23 03:32:10.126039+00;2026-02-26 02:58:49.371368+00;
0df09cd3-0c1d-4c02-8613-1e76c441610a;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Menyamakan timeline tarif dan unifikasi dengan IPSTI;2026-03-04;09:00:00;;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/9cdd2ef8-9811-4ba9-9d19-12e599da16df/1772604543784.pdf;2026-03-03 03:30:05.988203+00;2026-03-04 06:09:05.286634+00;
c868b12e-71fa-4855-8d87-d2412b17d8e4;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Pra konkin;2026-03-05;09:30:00;;;2026-03-05 01:27:31.779687+00;2026-03-05 01:27:31.779687+00;
c35f8b70-0f52-497f-8ecf-761159512154;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;SITE VISIT KE RS JONGGOL;2026-03-10;13:00:00;;;2026-03-06 06:56:22.042592+00;2026-03-06 06:56:22.042592+00;
0432bb02-a07a-4cb0-879b-3d87ced3ceba;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan Pak Dirut;2026-03-09;13:00:00;;;2026-03-09 01:32:12.432633+00;2026-03-09 01:32:12.432633+00;
c64d4f42-ce37-4362-8824-2c6d96edc6e1;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Prakonkin;2026-03-12;13:00:00;Prakonkin;;2026-03-12 01:23:55.071636+00;2026-03-12 01:23:55.071636+00;
356d7959-644b-4c4e-8470-a6c94a118e99;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;FS Perawat dan nakes;2026-03-12;13:00:00;;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1773301051817.pdf;2026-03-12 07:37:35.570945+00;2026-03-12 07:37:35.570945+00;
70e71d6f-55e9-4ff7-b409-fcbed3c73c9a;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Membahas Progres EHR HIS;2026-04-15;14:00:00;;;2026-04-14 03:36:09.623441+00;2026-04-14 03:36:09.623441+00;
b5e305ce-9dbb-4d31-9f06-81b6583fb407;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan IRMA IPSTI IPKJ IGD GEDUNG A PENUNJANG RADIOLOGI;2026-04-21;13:00:00;"Membahas migrasi ke his
Admisi";;2026-04-16 08:06:09.757129+00;2026-04-16 08:06:09.757129+00;
6ca232c7-e589-44cb-bf0e-626a307ec85f;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan Pak Edhi;2026-04-27;14:00:00;;;2026-04-27 03:05:52.803784+00;2026-04-27 03:05:52.803784+00;
3e352c84-21ae-43d0-8908-01a6e6432b90;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Simulasi Unifikasi EHR HIS;2026-04-27;09:00:00;;;2026-04-27 03:06:12.290827+00;2026-04-27 03:06:12.290827+00;
956a71f7-756c-4998-91c6-0cbb72bb0164;9ddeeee4-63d9-4833-981d-c32090d07b19;9cdd2ef8-9811-4ba9-9d19-12e599da16df;Penyelesaian Masalah Remunerasi;2026-04-22;13:00:00;"1. perhitungan remun kepdirjen
2. masalah remun radiologi anak
3. masalah remun embriolog kencana
4. wewenang IPKJ sebagai naungan penata rekening RSCM
5. form gamma knife

undangan IPSTI, OSDM, Yanmed, IPKJ, dan Yanjang";;2026-04-20 02:11:13.050919+00;2026-04-20 02:21:03.920428+00;
cf9ff717-2fbf-4172-bce4-a1810b3ed60e;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;Weekly report unifikasi HIS bersama direksi;2026-04-23;09:00:00;"1. IPSTI
2. direksi";;2026-04-20 02:39:24.963366+00;2026-04-20 02:39:24.963366+00;
5a8f6db8-edc5-427a-aa4a-3f72d2b7d565;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;Pembahasan alur remun;2026-04-22;09:00:00;;;2026-04-21 05:54:01.721623+00;2026-04-21 05:54:01.721623+00;
db45dad7-4a9f-464c-95f2-01063ca0d0b0;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Review dan Finalisasi Alur Surveilans Antimikroba berbasis IT presentasi dari IPSTI;2026-05-08;10:30:00;;;2026-05-05 01:21:34.930277+00;2026-05-05 01:21:34.930277+00;
7096c883-a5ec-4fd4-a5ea-c8872fc707e7;efb258e2-81b3-4c8b-95ae-c976879891b4;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Ureq Infra Mandiri Matrica;2026-05-05;13:00:00;;;2026-05-05 01:23:13.110719+00;2026-05-05 01:23:13.110719+00;
013250b2-2405-4636-a5ed-5f299f25e785;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Pembahasan Kamus KPI BTP Tahun 2026;2026-05-07;09:00:00;https://us05web.zoom.us/j/3769505725?pwd=ac98OMH8nWJ7 AkpbakieKpH5xca84u.1&omn=85083671257;;2026-05-05 01:24:59.421597+00;2026-05-05 01:24:59.421597+00;
f5dc5a5c-a852-4c13-922b-1650d6be75cd;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Rapat Tarif IVF;2026-05-08;13:00:00;;;2026-05-05 02:41:53.472614+00;2026-05-05 02:41:53.472614+00;
6d1405d3-0086-412b-af90-f9e98326ba1c;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Keamanan jaringan dengan BSSN;2026-05-05;09:00:00;;;2026-05-05 02:42:53.630142+00;2026-05-05 02:42:53.630142+00;
9bd50a12-f7f5-4a33-ac29-fd7263cf325f;;ae199846-f8f2-4f4b-998d-ea5f88b6a520;Evaluasi Unifikasi EHR-HIS;2026-05-07;14:00:00;;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/ae199846-f8f2-4f4b-998d-ea5f88b6a520/1778202602052.pdf;2026-05-07 09:06:19.679082+00;2026-05-08 01:10:03.174188+00;
d2ecd16e-de7d-47d7-8832-f9c69b17692a;d49f4fa5-bdf1-42f2-948f-ff11bec67b33;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Persiapan full HIS Rawat Inap semua aspek;2026-05-21;09:00:00;;;2026-05-18 09:07:09.552721+00;2026-05-19 03:48:46.414879+00;
21e769d7-f253-4714-a660-bebf2cd6c4cf;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan Pak dirut bahas sistem jasmed;2026-05-20;13:00:00;;;2026-05-19 03:49:28.526699+00;2026-05-19 03:50:20.657795+00;
1a0e7c9a-1030-43ee-9461-cfcf9c9912bd;;186eb126-6bf5-45af-901f-0ea7b2c1018d;Koordinasi Persiapan Layanan Ekslusif KIARA;2026-06-03;13:00:00;Persiapan Layanan Ekslusif KIARA;;2026-06-02 02:53:09.955488+00;2026-06-02 02:53:09.955488+00;
813a76fe-fce6-4638-aa1c-1ab310e00b44;;186eb126-6bf5-45af-901f-0ea7b2c1018d;Persiapan Uji Coba Aplikasi _Text Messaging_ Internal RSCM;2026-06-03;08:00:00;"Dari : Manajer Manajemen Risiko, Kendali Mutu dan Biaya
Hal : *Undangan Rapat*
==========================================
Menindaklanjuti pertemuan sebelumnya terkait dengan demo aplikasi _text messaging_ internal RSCM, perlu dilakukan uji coba yang akan dapat dijadikan dasar perbaikan agar aplikasi tersebut bisa segera diimplementasikan oleh seluruh civitas hospitalia RSCM, maka bersama ini kami mengundang Dokter/Bapak/Ibu untuk hadir pada rapat yang akan diadakan pada:

Hari/tanggal	: Rabu, 3 Juni 2026
Waktu		: 08.00 - 10.00 WIB
Agenda          : Persiapan Uji Coba Aplikasi _Text Messaging_ Internal RSCM
Tempat          : Ruang Rapat IPSTI, Gedung GH Lt. 1";;2026-06-02 08:25:20.002983+00;2026-06-02 08:25:20.002983+00;
cc4264e7-cb67-4c99-b812-bf7366fcf42e;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan Pak Edhi;2026-06-04;09:30:00;;;2026-06-04 01:17:23.77095+00;2026-06-04 01:17:23.77095+00;
7e0ca262-d629-4443-99af-01c852ffbf85;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Deadline Face Rec;2026-06-11;09:00:00;;;2026-06-05 00:49:22.90548+00;2026-06-05 00:50:29.959623+00;
25bda5c1-5ff5-4b66-a38b-b0e18f108043;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Evaluasi UNifikasi;2026-06-05;09:00:00;;;2026-06-05 00:51:07.898795+00;2026-06-05 00:51:07.898795+00;
398b8f5d-52a2-4854-92b5-5f1d564c8bf0;;186eb126-6bf5-45af-901f-0ea7b2c1018d;Pembahasan Jasa Medis IPTOR;2026-06-17;11:00:00;;;2026-06-16 12:09:42.07363+00;2026-06-16 12:09:42.07363+00;
c9fa49f1-3406-4f03-9ef1-30df6c447132;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan Serenic;2026-06-17;13:30:00;;;2026-06-16 14:00:38.929783+00;2026-06-16 14:00:38.929783+00;
ab8dacbe-c2a9-4de4-92da-c7023d2220fd;;186eb126-6bf5-45af-901f-0ea7b2c1018d;Pembahasan Capaian Antrian Online, Validasi Biometrik, dan Surat Kontrol JKN;2026-06-18;09:00:00;;;2026-06-16 12:10:57.97382+00;2026-06-16 14:02:06.734219+00;
dbf2dfd8-a978-412b-b810-f3f2312fd69d;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Meet dengan BPJS;2026-06-23;10:00:00;;;2026-06-19 02:18:28.972029+00;2026-06-19 02:18:28.972029+00;
40d97507-f140-438f-8bd3-9b74e3c32141;;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Sutrol Antrol BPJS;2026-06-19;09:00:00;;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/meeting-attachments/f33e6211-8ffc-4be9-9e4b-848ce613bdc0/1781858318782.docx;2026-06-19 08:38:34.638731+00;2026-06-19 08:38:34.638731+00;
